id,title,content,posted_at,author
1,Exciting News!,We are thrilled to announce the launch of our new student portal. Explore the features and provide us with your valuable feedback.,2023-03-15 10:00:00,Admin
2,Upcoming Events,Get ready for the upcoming coding competition on Saturday. Prepare your coding skills and join us for a fun and challenging event!,2023-03-18 14:30:00,Programming Club
3,Scholarship Opportunities,Great news for students! New scholarship opportunities are now available. Check the details on the scholarship page and apply before the deadline.,2023-03-20 09:45:00,Scholarship Office
4,Reminder: Career Fair,Don't forget to attend the Career Fair tomorrow. Meet with potential employers, submit your resume, and explore internship and job opportunities.,2023-03-22 16:20:00,Career Services
5,Student Council Elections,Get involved in student governance! Nominate yourself or someone you think would be a great candidate for the upcoming Student Council elections.,2023-03-25 11:00:00,Student Council
6,Workshop on Time Management,Struggling to manage your time effectively? Join our workshop this weekend to learn practical tips and techniques for better time management.,2023-03-28 15:15:00,Student Services
7,Feedback Requested,We value your opinion! Please take a moment to provide feedback on your recent experiences with our web app. Your insights will help us improve.,2023-03-30 08:45:00,Feedback Team
8,Spring Break Notice,Enjoy your well-deserved Spring Break! The university will be closed from April 1st to April 7th. Have a great time and come back refreshed.,2023-04-01 12:00:00,University Administration
9,New Course Offering: Data Science 101,Exciting news for data enthusiasts! We're introducing a new course on Data Science basics. Enroll now and dive into the world of data analytics.,2023-04-05 09:30:00,Department of Computer Science
10,Library Extended Hours,Good news night owls! The library will have extended hours during exam week. Take advantage of the extra study time and resources.,2023-04-10 20:00:00,Library Services
11,Volunteer Opportunities,Looking to make a positive impact? Check out the volunteer opportunities available in your community. Join us in contributing to a better tomorrow.,2023-04-12 14:15:00,Community Outreach
12,Graduation Ceremony Details,Attention graduating seniors! The details for this year's graduation ceremony are now available. Make sure to check the schedule and invite your loved ones.,2023-04-15 16:45:00,Graduation Committee
13,Summer Internship Program,Explore exciting internship opportunities this summer. Gain real-world experience in your field of study. Visit the Career Services office for more information.,2023-04-18 11:30:00,Career Services
14,Student Art Exhibition,Calling all artists! Showcase your creativity in our upcoming Student Art Exhibition. Submit your artwork by April 25th for a chance to be featured.,2023-04-22 13:00:00,Art Department
15,Health and Wellness Week,Join us for a week dedicated to health and wellness activities. From yoga sessions to nutrition workshops, there's something for everyone. Stay healthy and happy!,2023-04-26 10:30:00,Student Health Center
